id;latitud_gps;longitud_gps;random
1337;39.465;-0.376;0.129217985
6528;39.492;-0.4;0.086899488
9484;39.482;-0.357;0.004944574
5753;39.45;-0.36;0.355327479
1312;39.468;-0.367;0.748900771
2130;39.461;-0.371;0.525216822
11500;39.462;-0.346;0.142174422
2103;39.459;-0.366;0.354178252
4489;39.478;-0.366;0.89119213
5324;39.473;-0.333;0.063342146
13420;39.472;-0.416;0.610341835
10225;39.472;-0.355;0.806557224
5707;39.449;-0.37;0.619580792
1122;39.467;-0.372;0.986140746
2848;39.467;-0.383;0.805255664
10938;39.468;-0.346;0.739298491
11009;39.465;-0.337;0.183233323
1354;39.47;-0.365;0.172687396
6346;39.453;-0.401;0.037372161
11860;39.458;-0.334;0.05856774
4455;39.483;-0.377;0.88159638
10020;39.467;-0.355;0.860409774
1362;39.465;-0.376;0.183358914
1458;39.466;-0.369;0.462097854
8338;39.468;-0.396;0.719566599
832;39.478;-0.376;0.927198891
9200;39.483;-0.349;0.868298634
7956;39.427;-0.393;0.156201911
5044;39.462;-0.338;0.526012121
842;39.477;-0.382;0.783082443
3753;39.475;-0.393;0.446400162
3016;39.459;-0.386;0.030892147
5731;39.454;-0.373;0.920781578
104;39.471;-0.381;0.697898082
56;39.471;-0.378;0.555147589
9730;39.493;-0.357;0.28333451
8405;39.462;-0.39;0.473151304
2968;39.463;-0.387;0.641266874
7111;39.485;-0.394;0.909843044
3341;39.456;-0.382;0.970119773
831;39.477;-0.381;0.629297226
2766;39.46;-0.385;0.642742222
1357;39.467;-0.375;0.986226243
9056;39.496;-0.371;0.748930974
8082;39.471;-0.4;0.846237357
10069;39.471;-0.35;0.562037445
1343;39.454;-0.374;0.590333119
7304;39.494;-0.405;0.80594324
4857;39.476;-0.366;0.525032774
12531;39.45;-0.372;0.766282841
9122;39.494;-0.363;0.056082318
10998;39.468;-0.345;0.86454221
11729;39.465;-0.354;0.917496964
6762;39.489;-0.391;0.656777313
7143;39.487;-0.391;0.288732566
7214;39.493;-0.405;0.697036237
4510;39.481;-0.361;0.988790512
2784;39.459;-0.384;0.152462847
7792;39.449;-0.393;0.867145832
12486;39.451;-0.38;0.115714865
4508;39.481;-0.361;0.701484938
1129;39.472;-0.368;0.614300623
8970;39.492;-0.371;0.50168983
1509;39.467;-0.369;0.763061713
656;39.449;-0.38;0.469447845
8099;39.472;-0.398;0.439301077
8158;39.469;-0.394;0.872538808
10334;39.477;-0.351;0.167468745
2188;39.456;-0.372;0.714744674
13068;39.473;-0.418;0.251058676
13192;39.471;-0.419;0.694297842
12490;39.451;-0.379;0.31913124
4989;39.48;-0.372;0.662004432
12773;39.504;-0.426;0.362359507
4451;39.482;-0.385;0.726268786
418;39.468;-0.376;0.971434776
10015;39.475;-0.355;0.139418245
5393;39.466;-0.333;0.405358578
916;39.477;-0.384;0.135802615
3367;39.454;-0.383;0.108255621
12630;39.451;-0.377;0.393951035
8694;39.452;-0.394;0.554278117
13101;39.478;-0.415;0.043679238
5096;39.462;-0.336;0.213384966
9885;39.469;-0.354;0.611840195
11783;39.46;-0.338;0.370512337
12244;39.498;-0.382;0.66868831
3848;39.485;-0.382;0.162129833
1664;39.461;-0.369;0.731515695
9487;39.481;-0.356;0.319353992
8285;39.466;-0.394;0.640859714
9685;39.488;-0.367;0.203423237
584;39.471;-0.371;0.315249747
6428;39.459;-0.403;0.682023042
4653;39.477;-0.363;0.527120858
3777;39.475;-0.385;0.756053933
1963;39.461;-0.363;0.360457192
10237;39.467;-0.356;0.316312066
2818;39.457;-0.391;0.673617611
5072;39.484;-0.328;0.615900798
1553;39.466;-0.364;0.50781411
3143;39.461;-0.384;0.102525638
3809;39.472;-0.39;0.952035188
12961;39.471;-0.42;0.819331523
10447;39.465;-0.35;0.797924422
1643;39.465;-0.364;0.343621531
11197;39.463;-0.353;0.636104758
2021;39.458;-0.36;0.061908716
11111;39.466;-0.345;0.648417244
10767;39.463;-0.337;0.341940659
6663;39.493;-0.404;0.060595482
8641;39.467;-0.406;0.70633185
10124;39.476;-0.353;0.235246468
4001;39.487;-0.389;0.623962742
4645;39.479;-0.365;0.564498043
3199;39.466;-0.386;0.593248658
8376;39.467;-0.392;0.878143854
13314;39.475;-0.416;0.634303352
4651;39.474;-0.36;0.638424627
2316;39.464;-0.375;0.729880321
5395;39.484;-0.327;0.95593312
4925;39.472;-0.359;0.632746538
5041;39.48;-0.328;0.177348546
670;39.47;-0.372;0.489384381
7447;39.449;-0.39;0.267286169
1247;39.471;-0.37;0.729802078
12642;39.451;-0.377;0.699706224
3529;39.472;-0.386;0.062870796
4619;39.478;-0.367;0.471961927
11001;39.464;-0.337;0.490950716
12710;39.503;-0.423;0.159171003
6606;39.496;-0.401;0.60954265
12200;39.49;-0.39;0.9218657
1091;39.472;-0.368;0.62174272
2136;39.458;-0.372;0.337876936
12495;39.451;-0.381;0.895708064
