calle;X;Y;;
PIANISTA AMPARO ITURBI;39.45464970839120;-0.382017519102137;;
DOLORES MARQUES;39.48635980066970;-0.362902054566094;;
GONZALEZ MARTI;39.47383834378930;-0.393148110837242;;
HERNAN CORTES;39.46895362812270;-0.371904859861832;;
VIVER;39.48682461967900;-0.365670778985889;;
MARQUES DE SAN JUAN;39.47781834074870;-0.397268949308870;;
JORGE JUAN;39.46838567314200;-0.368653649947347;;
CIRILO AMOROS;39.46844720903550;-0.368630037044786;;
JESUS;39.46438629695730;-0.384875750885592;;
DEMOCRACIA;39.47406144739180;-0.396010279627707;;
DEMOCRACIA;39.47366097396050;-0.399599575907271;;
DEMOCRACIA;39.47334673863800;-0.400386439645778;;
FRANCIA;39.46044953502010;-0.351929707409131;;
FRANCIA;39.45990499802250;-0.351153238129864;;
CIUDADELA;39.47549801711470;-0.369497568210690;;
BURRIANA;39.46434673382960;-0.368482925655497;;
JUAN RAMON JIMENEZ;39.45244253803500;-0.374429190211260;;
JUAN RAMON JIMENEZ;39.45492098483060;-0.376150707806439;;
PEDREGUER;39.45402587998870;-0.375152179523106;;
CONDE DE ALTEA;39.46596282110830;-0.368034189730452;;
CONDE DE ALTEA;39.46642334788600;-0.366944384151631;;
MALUQUER;39.46287866819210;-0.385047366934043;;
JUAN LLORENS;39.47296106089860;-0.390973354133981;;
ALCACER;39.47068069498680;-0.406945987393537;;
LUIS LAMARCA;39.47091890012370;-0.400552173732499;;
ALCACER;39.47138111263810;-0.409038977421632;;
ARCHENA;39.47139889006800;-0.406540319746425;;
ALCACER;39.47103919593770;-0.407633400483327;;
PERE MARIA ORTS I BOSCH (HISTORIADOR);39.47019014282090;-0.414513496353379;;
OEST;39.46946566751300;-0.379706656288615;;
CONCHA ESPINA;39.47261175829710;-0.351153356860093;;
BAILEN;39.46695257225380;-0.377947649925130;;
BAILEN;39.46628647257100;-0.378232457614081;;
REINA;39.47296489218320;-0.328086803445645;;
PINTOR VILAR;39.48239354800150;-0.371617009072709;;
BARRACA;39.46685033920780;-0.329530108182679;;
REINA;39.46665003926670;-0.328899413741085;;
REINA;39.46586570389150;-0.329137384401242;;
DOCTOR LLUCH;39.46675653081620;-0.328505512110553;;
NAVARRO REVERTER;39.47091023065290;-0.366205866390555;;
NAVARRO REVERTER;39.47137518557950;-0.367151385317347;;
SAN MARCELINO;39.44533850556470;-0.390446383654905;;
REVERENDO JOSE NOGUERA;39.44631777301670;-0.391325946072121;;
MUSICO CABANILLES;39.44467774584710;-0.389800575727428;;
GUILLEM DE CASTRO;39.47452377941020;-0.384062580087608;;
GUILLEM DE CASTRO;39.47740751637250;-0.383924596309651;;
GUILLEM DE CASTRO;39.47358187749770;-0.383981140274993;;
GUILLEM DE CASTRO;39.47402904007680;-0.384002822066507;;
DOCTOR JUAN REGLA;39.47361969422850;-0.358794134011091;;
DOCTOR MANUEL CANDELA;39.46865070975090;-0.349821568418813;;
PUERTO RICO;39.46196722960000;-0.374137731088551;;
JUMILLA;39.46727255641000;-0.404739815066344;;
MALVARROSA;39.48407147949930;-0.327794879756091;;
JOSE BENLLIURE;39.46722071170370;-0.330681595836316;;
JOSE BENLLIURE;39.46423849608080;-0.330989156774559;;
PADRE LUIS NAVARRO;39.46718658480620;-0.329905856051942;;
REUS;39.48524998233870;-0.384827682989518;;
SAN JACINTO;39.47508982650870;-0.391524794471753;;
FRANCISCO BALDOMA;39.46568383726020;-0.333432296964741;;
JOSE MARIA HARO (MAGISTRAT);39.46988107577330;-0.338224906189925;;
JOSE MARIA MORTES LERMA;39.46283754756950;-0.402015679489742;;
DOCTOR SERRA;39.46705635215500;-0.375188382016952;;
COLON;39.46722527307930;-0.374629896038778;;
COLON;39.46832002220640;-0.373047632672109;;
COLON;39.46876637097000;-0.372412403028248;;
COLON;39.47058395551830;-0.370018411839377;;
COLON;39.47110859547320;-0.369442656305605;;
MARINO ALBESA;39.46555717510310;-0.343902266431658;;
DOCTOR LLUCH;39.46432577610360;-0.328862171800063;;
REINA;39.46437673443940;-0.329357845441101;;
BARRACA;39.46539486955540;-0.329647714626547;;
BARRACA;39.46387115292530;-0.329941921549864;;
POETA ARTOLA;39.47585211819390;-0.348806429818246;;
