Calle;Lat;Long
Plaza del Ceramista Gimeno, 9, 46004 Valencia;39.454.369;-0.379529
Sant Llorent, 46020 Valencia;39.488.604;-0.361907
Carrer del Marques de Dos Aigues, 6, 46002 Valencia;39.472.789;-0.374684
Pla del Remei, 46004 Valencia;39.467.763;-0.371100
Pla del Remei, 46004 Valencia;39.468.646;-0.368989
Carrer del Marques de Sant Joan, 46015 Valencia;39.477.932;-0.397109
Carrer de Jorge Juan, 19, 46004 Valencia;39.469.032;-0.368833
Carrer de Cirilo Amores, 51-43, 46004 Valencia;39.467.885;-0.369967
Nou Moles, 46018 Valencia;39.472.922;-0.401431
Carrer del Cronista Carreres, 13, 46003 Valencia;39.473.045;-0.367312
